"SOURCE","TARGET","WEIGHT"
000000,00010110000000000000,2
000000,00110001000000000000,1
000000,00110110100000000000,1
000000,00111000000000000000,3
000000,00111001100000000000,2
000000,00111100000000000000,1
000000,00111100100000000000,1
000000,00111101000000000000,1
000000,00111110010010101001,1
000000,00111110100000000000,3
000000,00111110110000000001,1
000000,00111111100000000000,2
000000,00111111110100100000,1
000000,01010110000000000000,1
000000,01011110010000000001,1
000000,01011110100000000000,1
000000,01011111110100000000,1
000000,01111000100000000000,1
000000,01111100000000000000,1
000000,01111111100000000000,1
000001,00111000000000000000,1
000001,00111001100000000000,1
000001,00111110100000000000,1
000001,01010100000000000000,1
000001,01111000000000000000,1
000001,01111101100000000000,1
000001,01111110000000000000,3
000010,00010000000000000000,1
000010,00010000010100000001,1
000010,00010100000000000000,1
000010,00011000000000000000,1
000010,00011000010100000000,1
000010,00011100000000000000,2
000010,00011101000000000000,1
000010,00110100000000000000,1
000010,00111000000000000000,1
000010,00111100000000000000,3
000010,00111100010000000001,1
000010,00111110100000000000,1
000010,00111111000000000000,2
000010,01010000000000000000,2
000010,01010000100000000000,1
000010,01010001000000000000,1
000010,01010100110100000000,1
000010,01010110000000000000,1
000010,01011110010000100000,1
000010,01110100000000000000,2
000010,01111000000000000000,1
000010,01111110010000000001,1
000011,00010000000000000000,2
000011,00010100000000000000,1
000011,00010110100000000000,1
000011,00010111000000000000,1
000011,00011110000000000000,2
000011,00111000000000000000,2
000011,00111100000000000000,1
000011,00111101000000000000,1
000011,00111110000000000000,4
000011,00111111100000000000,1
000011,01011100000000000000,1
000011,01011110000000000000,1
000011,01011110100000000000,1
000011,01011110110100000000,1
000011,01111100000000000000,3
000011,01111100010010000001,1
000011,01111110000000000000,1
000011,01111110100000000000,1
000011,01111111010000100000,1
000100,00010000000000000000,1
000100,00010000100000000000,1
000100,00010100000000000000,1
000100,00011100010000001000,1
000100,00011100010100000000,1
000100,00011101010000100000,1
000100,00011110000000000000,1
000100,00011111100000000000,2
000100,00111000000000000000,1
000100,00111000010000000001,1
000100,00111000100000000000,3
000100,00111001000000000000,2
000100,00111100000000000000,5
000100,00111100100000000000,2
000100,00111101000000000000,1
000100,00111101100000000000,2
000100,00111101110000010000,1
000100,00111110000000000000,3
000100,00111110100000000000,5
000100,00111110110000100000,1
000100,00111111000000000000,1
000100,00111111100000000000,4
000100,01010101100000000000,1
000100,01010110000000000000,1
000100,01010110010000000001,1
000100,01010111100000000000,1
000100,01011000000000000000,1
000100,01011110100000000000,1
000100,01110110000000000000,1
000100,01111100000000000000,1
000100,01111110000000000000,2
000100,01111111000000000000,1
000100,01111111100000000000,1
000100,01111111110100000000,1
000101,00010000000000000000,3
000101,00010100000000000000,1
000101,00010101110100000000,1
000101,00010110000000000000,1
000101,00010110010000000001,1
000101,00010110011000000000,1
000101,00010110100000000000,2
000101,00010110110100000000,1
000101,00010111000000000000,1
000101,00010111100000000000,1
000101,00011000000000000000,2
000101,00011100000000000000,1
000101,00011101010100000001,1
000101,00011110000000000000,4
000101,00011110100000000000,1
000101,00011110110000000001,1
000101,00011111000000000000,1
000101,00011111100000000000,1
000101,00110000000000000000,1
000101,00110000010001000000,1
000101,00110100100000000000,3
000101,00110110000000000000,1
000101,00110110010100000000,1
000101,00110110100000000000,2
000101,00110110110000000001,1
000101,00110111100000000000,1
000101,00111000100000000000,1
000101,00111100000000000000,7
000101,00111100100000000000,1
000101,00111101000000000000,6
000101,00111101010000000001,1
000101,00111101010100000000,1
000101,00111101100000000000,5
000101,00111110000000000000,6
000101,00111110100000000000,9
000101,00111111000000000000,3
000101,00111111100000000000,13
000101,00111111110001100000,1
000101,00111111110100000000,1
000101,01010000000000000000,2
000101,01010000010001000000,1
000101,01010101000000000000,1
000101,01010110000000000000,2
000101,01010110100000000000,2
000101,01011000000000000000,2
000101,01011100100000000000,1
000101,01011110000000000000,2
000101,01011111000000000000,1
000101,01011111100000000000,1
000101,01110000000000000000,1
000101,01110100000000000000,1
000101,01110111100000000000,1
000101,01111000000000000000,2
000101,01111001100000000000,1
000101,01111100000000000000,5
000101,01111101000000000000,1
000101,01111110000000000000,5
000101,01111110100000000000,2
000101,01111111100000000000,2
000110,00010000000000000000,1
000110,00010000010100000000,1
000110,00010100000000000000,1
000110,00010110000000000000,1
000110,00010111000000000000,1
000110,00011100000000000000,1
000110,00011100100000000000,1
000110,00011110000000000000,2
000110,00011111000000000000,3
000110,00110001000000000000,1
000110,00110101000000000000,1
000110,00110110000000000000,1
000110,00111000000000000000,2
000110,00111000100000000000,1
000110,00111100000000000000,1
000110,00111101000000000000,1
000110,00111101010000000001,1
000110,00111101010000100000,1
000110,00111110000000000000,4
000110,00111110100000000000,2
000110,00111111000000000000,1
000110,00111111100000000000,1
000110,01010001000000000000,1
000110,01010100000000000000,1
000110,01010111100000000000,1
000110,01011000000000000000,1
000110,01011110000000000000,3
000110,01110110000000000000,1
000110,01110111000000000000,1
000110,01111000000000000000,3
000110,01111000010111101101,1
000110,01111000110000000001,1
000110,01111001100000000000,1
000110,01111100100000000000,1
000110,01111101000000000000,2
000110,01111101100000000000,1
000110,01111101110000100000,1
000110,01111110000000000000,2
000110,01111110100000000000,1
000110,01111111000000000000,1
000110,01111111100000000000,1
000111,00010000000000000000,2
000111,00010000010000000001,1
000111,00010000010100000000,1
000111,00010000100000000000,1
000111,00010100000000000000,3
000111,00010100100000000000,1
000111,00010100110100000000,1
000111,00010101000000000000,1
000111,00010101100000000000,1
000111,00010110000000000000,3
000111,00010110010000000001,1
000111,00010110010110000001,1
000111,00010110100000000000,2
000111,00010110110000100000,1
000111,00010111000000000000,1
000111,00010111010000001000,1
000111,00011000000000000000,8
000111,00011000010000000001,1
000111,00011000010100000000,1
000111,00011000100000000000,1
000111,00011001000000000000,2
000111,00011100010000001001,1
000111,00011100010100001000,1
000111,00011100110000100000,1
000111,00011101100000000000,2
000111,00011110000000000000,11
000111,00011110100000000000,2
000111,00011110110000000001,1
000111,00011111000000000000,1
000111,00011111010000000001,1
000111,00011111100000000000,5
000111,00011111110000000001,2
000111,00110000000000000000,4
000111,00110000010000000001,1
000111,00110000100000000000,1
000111,00110001000000000000,2
000111,00110100000000000000,3
000111,00110100100000000000,1
000111,00110100110000000001,1
000111,00110101000000000000,1
