SEQN,CBD010,CBQ020,CBQ030,CBQ040,CBQ050,CBQ060,CBD070,CBD090,CBD110,CBD120,CBD130,CBQ140,CBD150,CBD160,CBD170,CBD180,CBQ190
41475.0,1.0,1.0,1.0,4.0,1.0,4.0,320.0,40.0,80.0,45.0,0.0,2.0,5.0,7.0,120.0,7.0,7.0
41476.0,2.0,1.0,1.0,1.0,5.0,3.0,900.0,0.0,0.0,400.0,20.0,1.0,15.0,7.0,90.0,7.0,7.0
41477.0,2.0,1.0,1.0,1.0,1.0,1.0,400.0,80.0,60.0,40.0,0.0,3.0,20.0,6.0,45.0,21.0,21.0
41478.0,2.0,2.0,4.0,3.0,5.0,1.0,70.0,0.0,200.0,25.0,15.0,2.0,5.0,4.0,120.0,3.0,3.0
41479.0,2.0,1.0,1.0,3.0,5.0,3.0,550.0,0.0,0.0,150.0,50.0,3.0,15.0,7.0,60.0,7.0,7.0
41480.0,2.0,1.0,1.0,4.0,5.0,4.0,500.0,0.0,0.0,0.0,0.0,2.0,15.0,7.0,60.0,7.0,7.0
41481.0,2.0,3.0,4.0,4.0,5.0,3.0,100.0,10.0,25.0,50.0,999999.0,3.0,15.0,2.0,30.0,2.0,2.0
41482.0,2.0,1.0,1.0,1.0,5.0,1.0,1071.0,160.0,100.0,120.0,171.0,3.0,20.0,7.0,180.0,7.0,7.0
41483.0,2.0,1.0,3.0,4.0,5.0,1.0,200.0,0.0,0.0,50.0,0.0,3.0,10.0,7.0,1.0,7.0,7.0
41484.0,2.0,2.0,2.0,5.0,5.0,1.0,300.0,42.0,0.0,0.0,0.0,1.0,30.0,7.0,60.0,7.0,7.0
41485.0,2.0,3.0,3.0,3.0,5.0,3.0,342.0,25.0,64.0,40.0,30.0,2.0,8.0,7.0,75.0,5.0,5.0
41486.0,1.0,1.0,1.0,1.0,1.0,1.0,728.0,428.0,0.0,214.0,64.0,1.0,5.0,7.0,60.0,5.0,5.0
41487.0,2.0,1.0,2.0,4.0,3.0,3.0,50.0,0.0,250.0,150.0,0.0,3.0,5.0,5.0,120.0,666.0,nan
41488.0,2.0,1.0,1.0,1.0,5.0,1.0,400.0,50.0,0.0,100.0,0.0,3.0,10.0,5.0,90.0,7.0,5.0
41489.0,2.0,3.0,3.0,2.0,4.0,1.0,150.0,0.0,100.0,171.0,171.0,3.0,10.0,2.0,30.0,3.0,2.0
41490.0,2.0,2.0,3.0,3.0,2.0,2.0,300.0,50.0,50.0,125.0,25.0,3.0,30.0,5.0,120.0,5.0,4.0
