	Total_number_of_references	Available_abstracts	Annotated_abstracts
Colitis.Diet.2007.2008.bib	71	65	65
Colitis.Diet.1999.2000.bib	55	51	51
Colitis.Diet.1995.1996.bib	45	40	40
Colitis.Diet.2005.2006.bib	67	61	61
Colitis.Diet.2001.2002.bib	59	51	51
Colitis.Diet.2003.2004.bib	62	54	54
Colitis.Diet.2013.2014.bib	149	138	138
Colitis.Diet.2009.2010.bib	88	81	81
Colitis.Diet.1997.1998.bib	46	40	40
Colitis.Diet.1993.1994.bib	26	21	21
Colitis.Diet.1991.1992.bib	35	27	27
Colitis.Diet.2011.2012.bib	110	98	98
Colitis.Diet.2015.2016.bib	165	156	156
