	Total_number_of_references	Available_abstracts	Annotated_abstracts
Colitis.Food.1995.1996.bib	55	48	48
Colitis.Food.1997.1998.bib	69	64	64
Colitis.Food.2009.2010.bib	186	171	171
Colitis.Food.2007.2008.bib	169	158	158
Colitis.Food.2014.2014.bib	190	172	172
Colitis.Food.1993.1994.bib	28	25	25
Colitis.Food.1991.1992.bib	44	32	32
Colitis.Food.2015.2015.bib	188	176	176
Colitis.Food.2011.2011.bib	125	108	108
Colitis.Food.2001.2002.bib	100	81	81
Colitis.Food.2012.2012.bib	131	122	122
Colitis.Food.2003.2004.bib	140	121	121
Colitis.Food.2005.2006.bib	154	130	130
Colitis.Food.2013.2013.bib	156	140	140
Colitis.Food.1999.2000.bib	83	70	70
Colitis.Food.2016.2016.bib	183	175	175
