	Total_number_of_references	Available_abstracts	Annotated_abstracts
Colitis.Intolerance.1999.2000.bib	9	9	9
Colitis.Intolerance.2011.2012.bib	19	16	16
Colitis.Intolerance.2003.2004.bib	18	17	17
Colitis.Intolerance.1993.1994.bib	10	10	10
Colitis.Intolerance.2015.2016.bib	34	33	33
Colitis.Intolerance.2001.2002.bib	17	17	17
Colitis.Intolerance.1995.1996.bib	8	8	8
Colitis.Intolerance.2013.2014.bib	28	25	25
Colitis.Intolerance.1997.1998.bib	11	11	11
Colitis.Intolerance.1991.1992.bib	7	7	7
Colitis.Intolerance.2009.2010.bib	21	21	21
Colitis.Intolerance.2007.2008.bib	16	16	16
Colitis.Intolerance.2005.2006.bib	21	19	19
