	Total_number_of_references	Available_abstracts	Annotated_abstracts
Colitis.Nutrition.2015.2015.2.bib	127	119	119
Colitis.Nutrition.1993.1994.bib	46	40	40
Colitis.Nutrition.2014.2014.bib	173	155	155
Colitis.Nutrition.1995.1996.bib	55	49	49
Colitis.Nutrition.2011.2012.bib	164	149	149
Colitis.Nutrition.2003.2004.bib	84	69	69
Colitis.Nutrition.2016.2016.1.bib	165	153	153
Colitis.Nutrition.1999.2000.bib	84	72	72
Colitis.Nutrition.1991.1992.bib	48	35	35
Colitis.Nutrition.2005.2006.bib	88	76	76
Colitis.Nutrition.2009.2010.bib	168	161	161
Colitis.Nutrition.2007.2008.bib	133	120	120
Colitis.Nutrition.2016.2016.2.bib	145	132	132
Colitis.Nutrition.2013.2013.bib	130	121	121
Colitis.Nutrition.1997.1998.bib	86	67	67
Colitis.Nutrition.2015.2015.1.bib	116	103	103
Colitis.Nutrition.2001.2002.bib	76	63	63
