	Total_number_of_references	Available_abstracts	Annotated_abstracts
Colitis.Probiotics.2003.2004.bib	82	70	70
Colitis.Probiotics.2001.2002.bib	41	34	34
Colitis.Probiotics.1999.2000.bib	16	14	14
Colitis.Probiotics.2009.2010.bib	84	74	74
Colitis.Probiotics.2005.2006.bib	91	73	73
Colitis.Probiotics.1993.1994.bib	1	1	1
Colitis.Probiotics.2007.2008.bib	79	75	75
Colitis.Probiotics.2015.2016.bib	108	107	107
Colitis.Probiotics.2013.2014.bib	118	106	106
Colitis.Probiotics.1997.1998.bib	5	5	5
Colitis.Probiotics.2011.2012.bib	102	91	91
