	Total_number_of_references	Available_abstracts	Annotated_abstracts
Crohn.Diet.2003.2004.bib	40	34	34
Crohn.Diet.2015.2016.bib	108	98	98
Crohn.Diet.1991.1992.bib	46	36	36
Crohn.Diet.2001.2002.bib	50	40	40
Crohn.Diet.2011.2012.bib	68	57	57
Crohn.Diet.1999.2000.bib	61	48	48
Crohn.Diet.1997.1998.bib	49	38	38
Crohn.Diet.1995.1996.bib	47	38	38
Crohn.Diet.2005.2006.bib	64	60	60
Crohn.Diet.2013.2014.bib	100	84	84
Crohn.Diet.2007.2008.bib	49	44	44
Crohn.Diet.1993.1994.bib	44	31	31
Crohn.Diet.2009.2010.bib	66	59	59
