	Total_number_of_references	Available_abstracts	Annotated_abstracts
Crohn.Food.1991.1992.bib	37	27	27
Crohn.Food.1995.1996.bib	31	24	24
Crohn.Food.2003.2004.bib	72	60	60
Crohn.Food.2007.2008.bib	96	84	84
Crohn.Food.2015.2016.bib	148	126	126
Crohn.Food.2011.2012.bib	97	83	83
Crohn.Food.2009.2010.bib	93	79	79
Crohn.Food.1999.2000.bib	62	44	44
Crohn.Food.2005.2006.bib	96	79	79
Crohn.Food.1993.1994.bib	33	24	24
Crohn.Food.2001.2002.bib	73	47	47
Crohn.Food.2013.2014.bib	160	131	131
Crohn.Food.1997.1998.bib	39	33	33
