	Total_number_of_references	Available_abstracts	Annotated_abstracts
Crohn.Intolerance.2003.2004.bib	11	10	10
Crohn.Intolerance.1995.1996.bib	2	2	2
Crohn.Intolerance.2009.2010.bib	18	17	17
Crohn.Intolerance.2005.2006.bib	12	12	12
Crohn.Intolerance.2015.2016.bib	18	18	18
Crohn.Intolerance.2013.2014.bib	18	17	17
Crohn.Intolerance.2001.2002.bib	8	8	8
Crohn.Intolerance.1999.2000.bib	8	8	8
Crohn.Intolerance.1997.1998.bib	6	6	6
Crohn.Intolerance.1993.1994.bib	5	4	4
Crohn.Intolerance.2007.2008.bib	16	16	16
Crohn.Intolerance.2011.2012.bib	13	11	11
Crohn.Intolerance.1991.1992.bib	4	4	4
