	Total_number_of_references	Available_abstracts	Annotated_abstracts
Crohn.Nutrition.2011.2012.bib	185	164	164
Crohn.Nutrition.2001.2002.bib	108	75	75
Crohn.Nutrition.2009.2010.bib	177	165	165
Crohn.Nutrition.2016.2016.2.bib	127	110	110
Crohn.Nutrition.1995.1996.bib	79	57	57
Crohn.Nutrition.2013.2014.bib	200	169	169
Crohn.Nutrition.2015.2015.bib	188	171	171
Crohn.Nutrition.1993.1994.bib	78	60	60
Crohn.Nutrition.2007.2008.bib	152	127	127
Crohn.Nutrition.2003.2004.bib	120	101	101
Crohn.Nutrition.2005.2006.bib	126	110	110
Crohn.Nutrition.1991.1992.bib	71	52	52
Crohn.Nutrition.2016.2016.1.bib	134	118	118
Crohn.Nutrition.1997.1998.bib	95	79	79
Crohn.Nutrition.1999.2000.bib	118	83	83
