	Total_number_of_references	Available_abstracts	Annotated_abstracts
IBS.Diet.1997.1998.bib	17	16	16
IBS.Diet.2016.2016.bib	112	90	90
IBS.Diet.2007.2008.bib	58	52	52
IBS.Diet.2013.2014.bib	172	132	132
IBS.Diet.2005.2006.bib	69	56	56
IBS.Diet.2003.2004.bib	48	38	38
IBS.Diet.1999.2000.bib	21	20	20
IBS.Diet.1995.1996.bib	16	15	15
IBS.Diet.2009.2010.bib	74	56	56
IBS.Diet.2011.2012.bib	97	79	79
IBS.Diet.2015.2015.bib	110	89	89
IBS.Diet.1993.1994.bib	18	15	15
IBS.Diet.2001.2002.bib	47	38	38
IBS.Diet.1991.1992.bib	25	23	23
