	Total_number_of_references	Available_abstracts	Annotated_abstracts
IBS.Food.2001.2002.bib	68	58	58
IBS.Food.2013.2014.bib	200	156	156
IBS.Food.2007.2008.bib	134	108	108
IBS.Food.1995.1996.bib	16	11	11
IBS.Food.1991.1992.bib	20	18	18
IBS.Food.1999.2000.bib	34	26	26
IBS.Food.2015.2016.bib	200	175	175
IBS.Food.2005.2006.bib	137	99	99
IBS.Food.2011.2012.bib	191	157	157
IBS.Food.2003.2004.bib	68	55	55
IBS.Food.1993.1994.bib	18	14	14
IBS.Food.2009.2010.bib	161	124	124
IBS.Food.1997.1998.bib	19	18	18
