	Total_number_of_references	Available_abstracts	Annotated_abstracts
IBS.Intolerance.2001.2002.bib	25	23	23
IBS.Intolerance.1999.2000.bib	13	12	12
IBS.Intolerance.2011.2012.bib	25	24	24
IBS.Intolerance.1997.1998.bib	6	6	6
IBS.Intolerance.2009.2010.bib	24	19	19
IBS.Intolerance.2005.2006.bib	23	21	21
IBS.Intolerance.2013.2014.bib	42	38	38
IBS.Intolerance.2003.2004.bib	23	21	21
IBS.Intolerance.1991.1992.bib	7	7	7
IBS.Intolerance.1993.1994.bib	8	7	7
IBS.Intolerance.2007.2008.bib	20	19	19
IBS.Intolerance.1995.1996.bib	9	7	7
IBS.Intolerance.2015.2016.bib	35	32	32
