	Total_number_of_references	Available_abstracts	Annotated_abstracts
IBS.Nutrition.2005.2006.bib	25	20	20
IBS.Nutrition.2007.2008.bib	38	30	30
IBS.Nutrition.1997.1998.bib	9	8	8
IBS.Nutrition.2013.2014.bib	88	73	73
IBS.Nutrition.2009.2010.bib	41	35	35
IBS.Nutrition.1995.1996.bib	3	2	2
IBS.Nutrition.2011.2012.bib	50	43	43
IBS.Nutrition.1991.1992.bib	3	3	3
IBS.Nutrition.2015.2016.bib	169	139	139
IBS.Nutrition.2003.2004.bib	14	12	12
IBS.Nutrition.2001.2002.bib	25	21	21
IBS.Nutrition.1999.2000.bib	8	6	6
IBS.Nutrition.1993.1994.bib	4	3	3
